Change Number,Opened At,Planned Start,Planned End,Actual Start,Actual End,Change Type,Risk,Priority,State,Category,Assignment Group,Assigned To,Location,Department,CI Name,Short Description,Conflict Status,Approval Status,On Hold Reason,Month Year,Quarter
CHG100001,2021-04-25 14:55:24,2021-04-28 14:55:24,2021-04-30 14:55:24,2021-04-28 20:55:24,2021-04-29 16:55:24,Standard,High,Medium,New,Hardware,Application Support,Carolyn Turner,Kolkata,Finance,Power BI Server,Politics pass say west international common land position new.,No Conflict,Rejected,CAB Review,Apr-2021,Q2
CHG100002,2024-01-07 20:53:17,2024-01-08 20:53:17,2024-01-11 20:53:17,2024-01-08 23:53:17,2024-01-09 19:53:17,Normal,Low,Medium,Authorize,Cloud,Service Desk,Erin Clark,Kolkata,Sales,Active Directory,Structure everybody thousand throughout majority.,Conflict Detected,Rejected,Awaiting Approval,Jan-2024,Q1
CHG100003,2024-08-13 03:25:01,2024-08-15 03:25:01,2024-08-18 03:25:01,2024-08-15 10:25:01,2024-08-15 22:25:01,Standard,High,Critical,Implement,Security,Linux Team,Amy Taylor,Bangalore,IT,Active Directory,City audience past wall establish treat just at.,Conflict Detected,Approved,CAB Review,Aug-2024,Q3
CHG100004,2024-07-29 16:51:30,2024-07-31 16:51:30,2024-08-02 16:51:30,2024-07-31 22:51:30,2024-08-01 14:51:30,Normal,Medium,Low,Implement,Hardware,Security Team,Shelley Lynch DVM,Pune,HR,Oracle DB,Campaign truth term control conference heavy call throw see.,Conflict Detected,Pending,Vendor Delay,Jul-2024,Q3
CHG100005,2024-11-10 16:09:04,2024-11-11 16:09:04,2024-11-14 16:09:04,2024-11-12 00:09:04,2024-11-12 17:09:04,Standard,Low,High,Implement,Hardware,Network Team,Kimberly Gonzales,Bangalore,Marketing,Active Directory,Concern indeed protect develop wall behind.,Conflict Detected,Pending,Business Request,Nov-2024,Q4
CHG100006,2026-03-07 11:24:44,2026-03-11 11:24:44,2026-03-13 11:24:44,2026-03-11 17:24:44,2026-03-12 12:24:44,Normal,Low,High,Closed,Cloud,Linux Team,Jose James,Delhi,Sales,Active Directory,Company media professor support lawyer easy.,No Conflict,Approved,Awaiting Approval,Mar-2026,Q1
CHG100007,2022-06-07 06:55:05,2022-06-10 06:55:05,2022-06-12 06:55:05,2022-06-10 10:55:05,2022-06-11 03:55:05,Standard,Low,Critical,Scheduled,Hardware,Windows Team,Andrew Jacobs DVM,Mumbai,Operations,Active Directory,True claim pay yet study however serious.,No Conflict,Approved,,Jun-2022,Q2
CHG100008,2021-02-11 14:33:02,2021-02-13 14:33:02,2021-02-15 14:33:02,2021-02-13 19:33:02,2021-02-14 09:33:02,Emergency,High,Critical,Authorize,Network,Database Team,Kevin Jennings,Delhi,HR,Power BI Server,Physical top heavy until beautiful travel standard.,No Conflict,Approved,Business Request,Feb-2021,Q1
CHG100009,2021-01-04 15:53:47,2021-01-09 15:53:47,2021-01-10 15:53:47,2021-01-09 23:53:47,2021-01-10 05:53:47,Standard,High,Medium,New,Cloud,Application Support,Kathy Dominguez,Chennai,Support,VPN Gateway,Will whether country else matter.,Conflict Detected,Rejected,CAB Review,Jan-2021,Q1
CHG100010,2026-03-06 18:23:36,2026-03-09 18:23:36,2026-03-12 18:23:36,2026-03-09 19:23:36,2026-03-10 01:23:36,Normal,Medium,Low,Review,Network,Windows Team,Dr. Ryan Daniels MD,Mumbai,Sales,Web Server,Nation cut skill later human good approach assume.,Conflict Detected,Rejected,Awaiting Approval,Mar-2026,Q1
CHG100011,2022-02-24 02:26:06,2022-02-27 02:26:06,2022-03-01 02:26:06,2022-02-27 06:26:06,2022-02-27 16:26:06,Emergency,Medium,Low,Scheduled,Software,Cloud Team,Dwayne Griffin,Chennai,Sales,Active Directory,Always end yes decide both.,Conflict Detected,Approved,Vendor Delay,Feb-2022,Q1
CHG100012,2026-02-08 12:31:24,2026-02-12 12:31:24,2026-02-14 12:31:24,2026-02-12 12:31:24,2026-02-13 01:31:24,Emergency,Low,Low,Implement,Email,Database Team,Kevin Lee,Pune,Support,Web Server,Value threat herself after some a edge name.,No Conflict,Approved,Vendor Delay,Feb-2026,Q1
CHG100013,2022-08-22 12:41:59,2022-08-26 12:41:59,2022-08-28 12:41:59,2022-08-26 18:41:59,2022-08-27 18:41:59,Normal,Medium,Low,New,Security,Application Support,Mark Russell,Chennai,Sales,Power BI Server,Successful begin official special visit name expect.,No Conflict,Pending,,Aug-2022,Q3
