Incident Number,Opened At,Resolved At,Closed At,Category,Subcategory,Priority,Impact,Urgency,State,Assignment Group,Assigned To,Location,Department,CI Name,Short Description,Reopen Count,SLA Met,Resolution Hours,Caller ID,Month Year,Quarter
INC100001,2025-09-06 08:23:24,2025-09-06 19:23:24,2025-09-07 01:23:24,Application,Windows,Medium,Medium,High,Closed,Security Team,Alexander Moore,Chennai,HR,Power BI Server,Heart shoulder sure fast trade part few life hair technology.,5,Yes,11,Jennifer Li,Sep-2025,Q3
INC100002,2023-08-10 00:04:35,2023-08-12 04:04:35,2023-08-12 06:04:35,Application,Linux,Medium,Medium,High,On Hold,Service Desk,Judith Walker,Bangalore,Finance,Oracle DB,Lawyer claim form chance recognize place southern support.,1,Yes,52,Aaron Anderson,Aug-2023,Q3
INC100003,2026-05-01 20:49:27,2026-05-05 10:49:27,2026-05-06 08:49:27,Database,VPN,Low,Medium,High,Closed,Security Team,Bradley Delgado,Pune,HR,Exchange Server,Seven sport financial home police like.,5,Yes,86,David Fry,May-2026,Q2
INC100004,2022-11-28 18:22:08,2022-11-30 21:22:08,2022-12-01 10:22:08,Cloud,Firewall,Low,High,Medium,New,Security Team,Kimberly Sanchez,Kolkata,Sales,CRM Server,Hit purpose force stop call.,2,No,51,Jillian Joseph,Nov-2022,Q4
INC100005,2023-06-08 10:30:52,2023-06-10 00:30:52,2023-06-10 21:30:52,Software,Oracle,Medium,Low,Low,On Hold,Linux Team,Brandon Murray,Delhi,Operations,Active Directory,Authority practice according school successful population less black feel personal.,0,No,38,John Castillo,Jun-2023,Q2
INC100006,2021-10-04 07:13:31,2021-10-06 16:13:31,2021-10-07 15:13:31,Cloud,SQL,Medium,High,High,On Hold,Linux Team,Dwayne Sherman,Bangalore,Sales,Power BI Server,Ok method walk act thank return.,5,Yes,57,Julie Miller,Oct-2021,Q4
INC100007,2023-12-24 01:54:56,2023-12-27 13:54:56,2023-12-27 23:54:56,Security,VPN,Critical,Low,High,On Hold,Database Team,Holly Jones,Delhi,IT,SAP Server,Fact hundred property though often.,4,Yes,84,Daniel Hunter,Dec-2023,Q4
INC100008,2024-06-17 14:55:53,2024-06-18 03:55:53,2024-06-18 21:55:53,Database,Oracle,Critical,High,Medium,On Hold,Linux Team,Christina Hunt,Chennai,IT,Oracle DB,Live body too huge every candidate ahead though turn set population.,2,No,13,Kyle Frank,Jun-2024,Q2
INC100009,2026-05-31 08:34:47,2026-06-02 03:34:47,2026-06-02 18:34:47,Application,Laptop,High,Low,High,New,Database Team,Alexander Ramos,Bangalore,Support,Web Server,Part husband laugh example teacher mind current news.,4,Yes,43,Robin Stewart,May-2026,Q2
INC100010,2021-02-02 03:04:58,2021-02-03 00:04:58,2021-02-03 10:04:58,Cloud,Windows,Medium,High,High,In Progress,Database Team,John Olson,Delhi,Sales,Exchange Server,Whatever car matter pick let quality.,0,Yes,21,Timothy Anderson,Feb-2021,Q1
